loss,phase1.motifs_prob,phase2.replication_prob,phase2.ung_prob,phase2.short_patch_ber_prob,phase2.lp_ber.profile,phase2.lp_ber.motifs_prob,phase2.mmr.motifs_prob
5.454935470106764,[0.15986395 0.18027211 0.15986395 0.15986395 0.18027211 0.15986395],0.49000000034728375,1.0,0.4900000002206535,"[0.04268491 0.0224829  0.0224829  0.04268491 0.04268491 0.02248289
 0.0224829  0.0224829  0.04268491 0.0224829  0.04268491 0.04268491
 0.04268491 0.0224829  0.04268491 0.02248289 0.04268491 0.04268491
 0.0224829  0.04268491 0.04268491 0.04268491 0.02248289 0.02248289
 0.04268491 0.0224829  0.02248289 0.0224829  0.0224829  0.02248289
 0.04268491]",[0.24 0.24 0.26 0.26],[0.25 0.25 0.25 0.25]
5.602267634464537,[0.1525714  0.19335866 0.15249951 0.1527862  0.1934178  0.15536643],0.4804661837988635,1.0,0.48000349482624993,"[0.04379886 0.01303447 0.0135667  0.05193843 0.03797169 0.01319016
 0.02061449 0.0128253  0.03843615 0.01946009 0.04130644 0.04348684
 0.05275571 0.02863415 0.05293183 0.01252802 0.05181801 0.05190217
 0.02950279 0.0418734  0.04864564 0.05222067 0.01253751 0.01482637
 0.05225974 0.02804418 0.01259715 0.02807779 0.0138972  0.01277583
 0.05254222]",[0.230291   0.23002859 0.26963414 0.27004626],[0.25 0.25 0.25 0.25]
5.438541571998273,[0.14512529 0.20646047 0.14510899 0.14686262 0.20671013 0.14973251],0.4709249255828823,1.0,0.4700214461300004,"[0.04684943 0.00352133 0.01495453 0.0566347  0.0385385  0.00388083
 0.02282971 0.00377778 0.03698276 0.01588637 0.04142219 0.04222303
 0.06368094 0.03697502 0.06305503 0.0026175  0.05665908 0.06197118
 0.03677603 0.03965002 0.04736142 0.06277299 0.00258993 0.00792587
 0.05994238 0.02900974 0.00273667 0.03494869 0.00557688 0.00416476
 0.05408471]",[0.22044459 0.22014395 0.27944117 0.27997029],[0.25 0.25 0.25 0.25]
5.2913539443148405,[0.13741205 0.21981151 0.13747041 0.14259045 0.2191315  0.14358407],0.4617169965470814,1.0,0.46035107541398984,"[4.93868793e-02 9.82302383e-28 1.39210933e-02 5.89183427e-02
 3.86934666e-02 9.82302383e-28 2.67881491e-02 9.82302383e-28
 3.19223639e-02 1.70581148e-02 3.83645310e-02 3.79210025e-02
 7.23648364e-02 4.27886238e-02 7.05361523e-02 9.82302383e-28
 6.10941299e-02 6.62805232e-02 4.31430157e-02 3.64103568e-02
 4.40133018e-02 6.43045404e-02 9.82302383e-28 1.28105439e-05
 6.34147792e-02 2.65095829e-02 9.82302383e-28 4.00927792e-02
 9.82302383e-28 9.82302383e-28 5.60606245e-02]",[0.21086328 0.21049995 0.28916124 0.28947554],[0.25 0.25 0.25 0.25]
5.428332940998469,[0.12926659 0.23212668 0.1293798  0.13996642 0.23176    0.13750052],0.45230208733384386,1.0,0.45055478439711083,"[5.02709537e-02 5.87104019e-04 1.56657978e-02 5.66415529e-02
 3.35216809e-02 9.59305536e-28 2.92305434e-02 9.59305536e-28
 2.55787922e-02 1.77472222e-02 3.21843664e-02 3.61530538e-02
 7.53525730e-02 4.81458638e-02 7.56898605e-02 9.59305536e-28
 6.47529677e-02 6.75467296e-02 4.42228635e-02 2.97917720e-02
 4.28702234e-02 6.33433873e-02 9.59305536e-28 9.59305536e-28
 6.48810661e-02 2.15759152e-02 9.59305536e-28 4.53156695e-02
 9.59305536e-28 9.59305536e-28 5.89300411e-02]",[0.20114607 0.2008612  0.29887523 0.2991175 ],[0.25 0.25 0.25 0.25]
5.214367320373957,[0.12143443 0.24523558 0.12135635 0.13569761 0.24521305 0.13106297],0.44327673144080176,1.0,0.4409361559028035,"[5.08092063e-02 9.78208338e-28 1.55799312e-02 5.16893249e-02
 2.76684070e-02 9.78208338e-28 2.77077277e-02 9.78208338e-28
 2.15031120e-02 1.82711125e-02 2.59440314e-02 3.46029851e-02
 8.05167779e-02 5.13876456e-02 8.17054087e-02 9.78208338e-28
 7.02262225e-02 7.07399080e-02 4.57753722e-02 2.43115122e-02
 4.03057244e-02 6.51038564e-02 9.78208338e-28 9.78208338e-28
 6.48497388e-02 1.87959494e-02 9.78208338e-28 5.08339976e-02
 9.78208338e-28 9.78208338e-28 6.16720480e-02]",[0.1914925  0.1913019  0.30847884 0.30872676],[0.25 0.25 0.25 0.25]
5.211550370555821,[0.11363116 0.25914837 0.11404668 0.13119618 0.2576697  0.12430791],0.43474416956298495,1.0,0.4315255675352922,"[5.04054598e-02 9.93912271e-28 1.60749214e-02 4.58352844e-02
 2.17722858e-02 9.93912271e-28 2.31123297e-02 9.93912271e-28
 1.89640804e-02 1.79409822e-02 1.90899554e-02 3.49891657e-02
 8.78495063e-02 5.44079352e-02 8.86169862e-02 9.93912271e-28
 7.67389383e-02 7.65266440e-02 4.78356025e-02 1.78966656e-02
 3.73879466e-02 6.50432173e-02 9.93912271e-28 9.93912271e-28
 6.46393579e-02 1.49423126e-02 9.93912271e-28 5.42881439e-02
 9.93912271e-28 9.93912271e-28 6.56422790e-02]",[0.18223479 0.18178182 0.31781089 0.31817251],[0.25 0.25 0.25 0.25]
5.161716338238361,[0.10561014 0.27316409 0.10656359 0.12690164 0.27060503 0.11715551],0.4264179930899386,1.0,0.4221710699836787,"[4.89852141e-02 1.63039647e-03 1.39407122e-02 4.26621671e-02
 1.77831973e-02 9.98622404e-28 1.74811508e-02 9.98622404e-28
 1.47359249e-02 1.56891967e-02 1.26384398e-02 3.64051506e-02
 9.53141528e-02 5.72788602e-02 9.55671401e-02 9.98622404e-28
 8.30282741e-02 8.18240957e-02 5.00508947e-02 1.27284582e-02
 3.41978016e-02 6.30355501e-02 9.98622404e-28 9.98622404e-28
 6.60935444e-02 1.05584571e-02 9.98622404e-28 5.80771140e-02
 9.98622404e-28 9.98622404e-28 7.02941070e-02]",[0.17301704 0.17216968 0.32706451 0.32774878],[0.25 0.25 0.25 0.25]
5.110982338410545,[0.09802402 0.28789603 0.09881194 0.12199316 0.28353344 0.10974141],0.4187121870036215,1.0,0.41306585695787484,"[4.58715149e-02 2.63110882e-03 1.16871152e-02 3.84699591e-02
 1.36046609e-02 1.00401278e-27 1.20688998e-02 1.00401278e-27
 1.18572516e-02 1.53111494e-02 6.61885059e-03 3.69844025e-02
 1.03956537e-01 5.99115200e-02 1.02221011e-01 1.00401278e-27
 8.69426407e-02 8.59873935e-02 5.32489401e-02 6.78696382e-03
 2.96241663e-02 6.16511681e-02 1.00401278e-27 1.00401278e-27
 6.89412478e-02 6.69675723e-03 1.00401278e-27 6.28381589e-02
 1.00401278e-27 1.00401278e-27 7.60885830e-02]",[0.16391698 0.1626722  0.33633681 0.33707401],[0.25 0.25 0.25 0.25]
5.122662004557964,[0.09074415 0.30274386 0.09074187 0.11712422 0.29666098 0.10198493],0.4112491737818997,1.0,0.4041594317368599,"[4.21927378e-02 1.06122376e-03 8.53370686e-03 3.43215114e-02
 8.78171501e-03 1.01410295e-27 5.95296891e-03 1.01410295e-27
 1.23776071e-02 1.41574699e-02 6.07989177e-04 3.67709479e-02
 1.12688203e-01 6.21852085e-02 1.10257026e-01 1.01410295e-27
 8.92903667e-02 9.19403826e-02 5.79131243e-02 5.85802473e-04
 2.44655453e-02 6.14897233e-02 1.01410295e-27 1.01410295e-27
 7.23103371e-02 2.57872076e-03 1.01410295e-27 6.82942927e-02
 1.01410295e-27 1.01410295e-27 8.12433892e-02]",[0.15482575 0.15333232 0.34598951 0.34585241],[0.25 0.25 0.25 0.25]
