loss,phase1.motifs_prob,phase2.replication_prob,phase2.ung_prob,phase2.short_patch_ber_prob,phase2.lp_ber.profile,phase2.lp_ber.motifs_prob,phase2.mmr.motifs_prob
5.5750250968177095,[0.16578117 0.16777032 0.16616381 0.16619751 0.16776226 0.16632493],0.49859678587170053,1,0.49892763321710804,"[0.02857744 0.0287232  0.02871139 0.02865694 0.02865378 0.02867791
 0.02866222 0.02874507 0.02879958 0.02842951 0.02846621 0.02868149
 0.02833613 0.02876422 0.02866736 0.02860795 0.02862842 0.02798983
 0.02857542 0.02850702 0.02871241 0.02835306 0.02864026 0.0287662
 0.02835853 0.02860184 0.02880662 0.0282679  0.02856415 0.02871112
 0.02829695 0.02849604 0.02865439 0.02849342 0.02841604]",[0.24939167 0.24940716 0.25065333 0.25054785],[0.25 0.25 0.25 0.25]
5.566945191939413,[0.16465393 0.16909304 0.16560186 0.16562512 0.16896565 0.16603384],0.4972431208789287,1,0.49786334892414563,"[0.02863191 0.02891811 0.02875122 0.02884151 0.02875295 0.02884871
 0.02868264 0.02898385 0.02906495 0.02828529 0.02831423 0.02870655
 0.02807966 0.02889427 0.02872922 0.02861165 0.02867987 0.02741927
 0.02855655 0.02841717 0.02886879 0.02811861 0.02867223 0.02896893
 0.02808458 0.0286672  0.02905874 0.02797893 0.02853955 0.02885167
 0.02805047 0.02845389 0.02881808 0.02840263 0.02825725]",[0.24877592 0.2488177  0.25131026 0.25109032],[0.25 0.25 0.25 0.25]
5.552169508227148,[0.16365244 0.17029776 0.16507999 0.16498262 0.17019558 0.16571627],0.4959083167079467,1,0.4968146011145583,"[0.02862236 0.02910566 0.02881877 0.02896617 0.0288799  0.02894971
 0.028784   0.02913706 0.02934342 0.02811971 0.02819544 0.02874179
 0.0278318  0.02898237 0.02879332 0.02860689 0.02880718 0.02685727
 0.02858314 0.0283397  0.02894938 0.02795426 0.02870496 0.02916021
 0.02782249 0.02870781 0.02928663 0.02769072 0.02853683 0.02901838
 0.0277857  0.02838254 0.0289288  0.02836531 0.02815378]",[0.24817068 0.24824727 0.25190674 0.25165917],[0.25 0.25 0.25 0.25]
5.5479640692595975,[0.16246625 0.17149902 0.16462515 0.16436969 0.17144068 0.16545594],0.49454884327197013,1,0.49580922188667176,"[0.02868301 0.02924674 0.02890787 0.02908161 0.02894591 0.02909437
 0.02882003 0.0293421  0.02958505 0.02796506 0.02804696 0.02878149
 0.02762038 0.02912891 0.02888892 0.0286103  0.02883713 0.02631697
 0.0285527  0.02832649 0.02903056 0.02774236 0.02872142 0.02935022
 0.02757849 0.02876729 0.02953092 0.02741326 0.02850256 0.02915536
 0.02755668 0.0283231  0.0290557  0.02830034 0.02805607]",[0.24758393 0.24769974 0.25246014 0.25222651],[0.25 0.25 0.25 0.25]
5.550661871929103,[0.16149962 0.17259251 0.1641198  0.16388281 0.17252087 0.16517355],0.49318542599523757,1,0.4947505361406972,"[0.02871811 0.02940252 0.02901122 0.02919803 0.02907405 0.02924791
 0.02892259 0.0295248  0.02984845 0.02779571 0.02788574 0.02888054
 0.02736305 0.02925871 0.02894812 0.02858447 0.02888822 0.025743
 0.02856693 0.02832466 0.02910548 0.02754474 0.02876933 0.02947743
 0.02736151 0.02878737 0.02970109 0.02711048 0.0284821  0.02927018
 0.02730643 0.02830765 0.02922844 0.02821792 0.02795814]",[0.2469747  0.24712948 0.25297795 0.25287098],[0.25 0.25 0.25 0.25]
5.525645058865222,[0.16041342 0.17378157 0.16364228 0.16346638 0.17348165 0.16492831],0.4918562305388962,1,0.49381755823583073,"[0.02873744 0.0295795  0.02912065 0.02936007 0.02915858 0.02940669
 0.02895298 0.02971687 0.03004971 0.02766612 0.02774859 0.02893527
 0.02715143 0.0294096  0.02896527 0.02859835 0.02898664 0.02524999
 0.0285615  0.02828426 0.02921088 0.02733532 0.02879366 0.02964051
 0.02715078 0.02879981 0.02992872 0.02683104 0.02848381 0.02935771
 0.02710113 0.02820101 0.02932529 0.02810577 0.02787282]",[0.24642679 0.24659869 0.25352209 0.25338789],[0.25 0.25 0.25 0.25]
5.63570880710785,[0.1594725  0.17462308 0.16314788 0.16308529 0.17460079 0.1647173 ],0.49025731335025724,1,0.4926157209217839,"[0.02874707 0.02979233 0.02924218 0.02951852 0.02923254 0.02956102
 0.02903534 0.02992164 0.03034857 0.0275055  0.02760986 0.02899605
 0.02690931 0.02953935 0.02903719 0.0285686  0.02907665 0.02460637
 0.02858019 0.02819258 0.02933051 0.02711547 0.02886544 0.02978256
 0.02687195 0.02883859 0.03015597 0.02653042 0.0284576  0.02948905
 0.02685797 0.02813779 0.02947097 0.02799161 0.02778144]",[0.2457178  0.24594312 0.25415113 0.25409623],[0.25 0.25 0.25 0.25]
5.5066025314347,[0.15851279 0.17578331 0.16270824 0.16244905 0.17564554 0.16446013],0.48896715506565885,1,0.49164985891323687,"[0.02881243 0.02993478 0.02926247 0.02960976 0.02932412 0.02962029
 0.02904715 0.03008824 0.03055754 0.02735226 0.02747461 0.02902178
 0.02670635 0.02967896 0.02904796 0.02859572 0.02916426 0.02409103
 0.02855099 0.02815933 0.0294592  0.02693573 0.02888733 0.02999995
 0.02665655 0.02890581 0.03042527 0.02628554 0.02845297 0.02966445
 0.02661342 0.02808924 0.02963015 0.02790664 0.02766204]",[0.24515041 0.24539647 0.25478452 0.25455493],[0.25 0.25 0.25 0.25]
